data_somministrazione;area;totale;sesso_maschile;sesso_femminile;prima_dose;seconda_dose;pregressa_infezione;dose_aggiuntiva;codice_NUTS1;codice_NUTS2;codice_regione_ISTAT;nome_area;Latitudine;Longitudine;ricoverati_con_sintomi;terapia_intensiva;totale_ospedalizzati;isolamento_domiciliare;totale_positivi;variazione_totale_positivi;nuovi_positivi;dimessi_guariti;deceduti;totale_casi;tamponi;casi_testati
2020-12-29;LIG;125;33;92;125;0;0;0;ITC;ITC3;7;Liguria;44.41149315;8.9326992;711;63;774;4985;5759;71;305;50956;2867;59582;701035;320126
2020-12-30;SIC;231;140;91;230;0;1;0;ITG;ITG1;19;Sicilia;38.11569725;13.362356699999998;1085;166;1251;32136;33387;-22;1084;56577;2381;92345;1211824;808160
2020-12-30;PIE;743;327;416;743;0;0;0;ITC;ITC1;1;Piemonte;45.0732745;7.680687483;2957;192;3149;25810;28959;-424;1046;159609;7893;196461;1673896;981588
2020-12-30;PAT;7;3;4;7;0;0;0;ITH;ITH2;4;Provincia Autonoma Trento;46.06893511;11.12123097;380;45;425;1288;1713;-47;197;18874;933;21520;447759;151147
2020-12-30;LAZ;1661;641;1020;1650;0;11;0;ITI;ITI4;12;Lazio;41.89277044;12.48366722;2808;303;3111;71352;74463;-222;1333;83125;3696;161284;2690302;2039177
2020-12-30;EMR;1;0;1;1;0;0;0;ITH;ITH5;8;Emilia-Romagna;44.49436681;11.341720800000001;2641;230;2871;53186;56057;-755;1427;105656;7683;169396;2556405;1221526
2020-12-30;LIG;12;5;7;12;0;0;0;ITC;ITC3;7;Liguria;44.41149315;8.9326992;712;63;775;4853;5628;-131;415;51489;2880;59997;706883;322079
2020-12-30;TOS;327;104;223;326;0;1;0;ITI;ITI1;9;Toscana;43.76923077;11.25588885;869;160;1029;8708;9737;-278;460;106304;3655;119696;1872240;1057968
2020-12-30;VEN;699;245;454;699;0;0;0;ITH;ITH3;5;Veneto;45.43490485;12.33845213;2711;358;3069;86954;90023;-342;2986;152642;6410;249075;3276810;1208044
2020-12-30;LOM;115;42;73;115;0;0;0;ITC;ITC4;3;Lombardia;45.46679409;9.190347404;3617;481;4098;48898;52996;-1422;1673;397010;25038;475044;4826709;2597894
2020-12-30;MAR;17;5;12;17;0;0;0;ITI;ITI3;11;Marche;43.61675973;13.5188753;468;62;530;10042;10572;443;585;28792;1557;40921;526915;311670
2020-12-30;PAB;389;183;206;389;0;0;0;ITH;ITH1;4;Provincia Autonoma Bolzano / Bozen;46.49933453;11.35662422;168;22;190;10412;10602;-76;220;17901;731;29234;359695;162050
2020-12-30;PUG;1;0;1;1;0;0;0;ITF;ITF4;16;Puglia;41.12559576;16.86736689;1497;128;1625;51115;52740;-93;1470;34112;2451;89303;1033478;649695
2020-12-30;FVG;629;245;384;629;0;0;0;ITH;ITH4;6;Friuli-Venezia Giulia;45.6494354;13.76813649;641;59;700;10947;11647;-130;803;35876;1627;49150;924819;338891
2020-12-31;PUG;1638;785;853;1638;0;0;0;ITF;ITF4;16;Puglia;41.12559576;16.86736689;1490;129;1619;51383;53002;262;1661;35490;2472;90964;1044314;653907
2020-12-31;PAB;929;528;401;929;0;0;0;ITH;ITH1;4;Provincia Autonoma Bolzano / Bozen;46.49933453;11.35662422;159;26;185;10484;10669;67;260;18086;739;29494;361459;162616
2020-12-31;MAR;392;184;208;390;0;2;0;ITI;ITI3;11;Marche;43.61675973;13.5188753;470;62;532;10646;11178;606;703;28875;1571;41624;532497;315319
2020-12-31;VDA;18;4;14;18;0;0;0;ITC;ITC2;2;Valle d'Aosta / Vallée d'Aoste;45.73750286;7.320149366;75;2;77;334;411;5;29;6483;379;7273;62687;37432
2020-12-31;UMB;322;127;195;322;0;0;0;ITI;ITI2;10;Umbria;43.10675841;12.38824698;259;44;303;3474;3777;71;300;24559;624;28960;503641;252395
2020-12-31;VEN;3221;1042;2179;3221;0;0;0;ITH;ITH3;5;Veneto;45.43490485;12.33845213;2698;361;3059;88014;91073;1050;4800;156263;6539;253875;3300987;1214443
2020-12-31;LIG;991;352;639;991;0;0;0;ITC;ITC3;7;Liguria;44.41149315;8.9326992;694;65;759;4861;5620;-8;472;51958;2891;60469;711036;323257
2020-12-31;PAT;1701;480;1221;1701;0;0;0;ITH;ITH2;4;Provincia Autonoma Trento;46.06893511;11.12123097;380;42;422;1440;1862;149;320;19036;942;21840;450593;151538
2020-12-31;SIC;968;511;457;960;0;8;0;ITG;ITG1;19;Sicilia;38.11569725;13.362356699999998;1069;171;1240;32628;33868;481;1299;57364;2412;93644;1219132;812545
2020-12-31;FVG;1048;381;667;1047;0;1;0;ITH;ITH4;6;Friuli-Venezia Giulia;45.6494354;13.76813649;645;62;707;11091;11798;151;877;36587;1642;50027;933082;341139
2020-12-31;PIE;3896;1329;2567;3896;0;0;0;ITC;ITC1;1;Piemonte;45.0732745;7.680687483;2895;190;3085;25172;28257;-702;1367;161649;7922;197828;1682529;984809
2020-12-31;TOS;802;201;601;798;0;4;0;ITI;ITI1;9;Toscana;43.76923077;11.25588885;838;150;988;8690;9678;-59;632;106977;3673;120328;1883593;1061504
2020-12-31;EMR;2217;781;1436;2216;0;1;0;ITH;ITH5;8;Emilia-Romagna;44.49436681;11.341720800000001;2629;233;2862;54484;57346;1289;2116;106428;7738;171512;2572140;1227556
2020-12-31;LAZ;5390;2160;3230;5330;0;60;0;ITI;ITI4;12;Lazio;41.89277044;12.48366722;2789;303;3092;72081;75173;710;1767;84109;3769;163051;2706603;2045449
2020-12-31;CAM;1490;811;679;1470;0;20;0;ITF;ITF3;15;Campania;40.83956555;14.25084984;1325;113;1438;75817;77255;-356;1554;109574;2844;189673;2035364;1359098
2020-12-31;SAR;41;22;19;41;0;0;0;ITG;ITG2;20;Sardegna;39.21531192;9.110616306;486;46;532;15921;16453;128;368;13913;747;31113;482520;404939
2020-12-31;LOM;715;302;413;715;0;0;0;ITC;ITC4;3;Lombardia;45.46679409;9.190347404;3437;489;3926;50697;54623;1627;3859;399157;25123;478903;4859567;2608285
2021-01-01;UMB;273;104;169;273;0;0;0;ITI;ITI2;10;Umbria;43.10675841;12.38824698;254;46;300;3504;3804;27;228;24759;625;29188;506256;253369
2021-01-01;CAM;919;506;413;899;0;20;0;ITF;ITF3;15;Campania;40.83956555;14.25084984;1359;104;1463;76865;78328;1073;1734;110215;2864;191407;2055822;1375469
2021-01-01;VEN;1527;471;1056;1526;0;1;0;ITH;ITH3;5;Veneto;45.43490485;12.33845213;2657;372;3029;89553;92582;1509;4805;159469;6629;258680;3322582;1220624
2021-01-01;SIC;855;454;401;851;0;4;0;ITG;ITG1;19;Sicilia;38.11569725;13.362356699999998;1073;176;1249;33098;34347;479;1122;57979;2440;94766;1226629;817045
2021-01-01;LOM;24;7;17;24;0;0;0;ITC;ITC4;3;Lombardia;45.46679409;9.190347404;3352;487;3839;51473;55312;689;3056;401444;25203;481959;4885034;2617001
2021-01-01;FVG;2;2;0;2;0;0;0;ITH;ITH4;6;Friuli-Venezia Giulia;45.6494354;13.76813649;647;63;710;11043;11753;-45;715;37320;1669;50742;940153;342937
2021-01-01;TOS;2410;814;1596;2364;0;46;0;ITI;ITI1;9;Toscana;43.76923077;11.25588885;810;143;953;8883;9836;158;589;107381;3700;120917;1893356;1064848
